income,credit_score,MEAN(loans.loan_amount),MEAN(loans.rate),MAX(loans.loan_amount),MAX(loans.rate),LAST(loans.loan_type),LAST(loans.loan_amount),LAST(loans.rate),LAST(loans.repaid),"TREND(loans.rate, loan_start)","TREND(loans.loan_amount, loan_start)",MEAN(payments.payment_amount),MAX(payments.payment_amount),LAST(payments.payment_amount),LAST(payments.missed),"TREND(payments.payment_amount, payment_date)",YEAR(joined),MONTH(joined),MEAN(loans.MEAN(payments.payment_amount)),MEAN(loans.MAX(payments.payment_amount)),MEAN(loans.LAST(payments.payment_amount)),"MEAN(loans.TREND(payments.payment_amount, payment_date))",MAX(loans.MEAN(payments.payment_amount)),MAX(loans.LAST(payments.payment_amount)),"MAX(loans.TREND(payments.payment_amount, payment_date))",LAST(loans.MEAN(payments.payment_amount)),LAST(loans.MAX(payments.payment_amount)),"LAST(loans.TREND(payments.payment_amount, payment_date))",LAST(loans.YEAR(loan_start)),LAST(loans.YEAR(loan_end)),LAST(loans.MONTH(loan_start)),LAST(loans.MONTH(loan_end)),"TREND(loans.TREND(payments.payment_amount, payment_date), loan_start)","TREND(loans.LAST(payments.payment_amount), loan_start)","TREND(loans.MEAN(payments.payment_amount), loan_start)","TREND(loans.MAX(payments.payment_amount), loan_start)",YEAR(LAST(loans.loan_start)),YEAR(LAST(loans.loan_end)),YEAR(LAST(payments.payment_date)),MONTH(LAST(loans.loan_start)),MONTH(LAST(loans.loan_end)),MONTH(LAST(payments.payment_date))
127183,643,8986.35294117647,2.389411764705882,14804,8.01,cash,8797,0.64,1,-0.0002002031421356488,1.0168947479787753,1340.6829268292684,2889,1615,0,0.18834708815558632,2002,10,1368.3815592903827,1701.3529411764705,1456.7058823529412,0.01329095930942195,2542.1428571428573,2837,2.601939586645469,1348.8333333333333,1634,1.569547497126136,2014,2016,3,1,-2.221788879448514e-06,0.12525155373905278,0.16992245807784445,0.206832827656684,2014,2016,2014,3,1,9
191204,617,7865.473684210527,3.53842105263158,14654,9.23,other,14654,2.26,0,-0.001183389315390132,-0.7668257772986037,1193.6301369863013,2822,2045,1,-0.06526890266749269,2000,6,1194.6282274313235,1503.4736842105262,1265.0,0.5822318484452178,2311.285714285714,2472,4.108902575587908,2311.285714285714,2822,-0.7513547453625427,2014,2016,7,3,-0.0002517819328338736,-0.09677730740033631,-0.08850221750540148,-0.13235151914864424,2014,2016,2015,7,3,3
153873,610,7424.05,3.1905000000000006,14575,9.91,cash,9600,0.25,0,-7.350736479503019e-05,-0.3373020804679806,1162.0264900662253,2764,1072,1,-0.05249890466929149,2011,10,1109.3341821577117,1440.5,1160.0,0.48323738112827075,2355.5714285714284,2703,7.916623975409839,1230.7777777777778,1784,0.3043606206527599,2014,2017,6,2,-0.00028842682381584675,-0.15507907006996358,-0.06320542105813604,-0.09393309653682731,2014,2017,2015,6,2,4
152214,638,7510.8125,3.9812500000000006,13657,9.82,cash,10122,1.03,0,-0.0004141299229852947,-1.3666005933774306,1129.0761904761905,2436,1453,0,-0.228588989809678,2001,11,1133.4141617063492,1382.6875,1076.9375,-0.4762007667853517,1992.25,2230,3.1723444013224213,1427.0,1803,3.1723444013224213,2014,2016,8,6,0.0004803563568146367,-0.18680058115055348,-0.21045601283538476,-0.2529625598054183,2014,2016,2015,8,6,3
122607,585,7894.85,3.1104999999999996,14399,10.49,home,11154,6.48,1,-0.00011880625022209753,0.4059160304652414,1246.5099337748345,2719,2115,0,0.022281979345105004,2013,3,1271.4157089438338,1638.7,1249.9,0.3206063721210882,2143.1428571428573,2543,2.87400682701489,1862.8,2169,2.721712599210307,2014,2016,8,6,7.493498269335894e-05,0.10472836956088048,0.10383357961576124,0.1296893572305076,2014,2016,2015,8,6,3
229481,563,7062.066666666667,2.4573333333333336,13887,6.74,home,8090,3.18,0,0.0006018892730735081,-0.6645155638621719,1021.4833333333333,2769,1082,1,-0.12869296850141124,2000,4,1042.907671957672,1325.0666666666666,1001.7333333333333,-0.6527698171233368,2229.4,2098,2.1754691189263076,1192.3333333333333,1484,-2.763663426205871,2012,2015,9,4,-2.9849503033151278e-05,-0.08602943615489464,-0.0891141376891769,-0.13278475494809952,2012,2015,2013,9,4,4
151903,781,7387.733333333334,2.806666666666667,14900,5.97,credit,7279,4.1,1,0.00019006995580793422,0.5732357008449408,1055.7522935779816,2915,736,1,-0.005375345214713702,2009,7,1060.0883028083028,1358.0666666666666,950.8,-1.0202438533194065,2200.875,2445,1.4069958047398103,1050.0,1243,-2.012577901105399,2014,2016,3,6,-5.418787719326835e-06,0.01102281750524819,0.052657547203551605,0.08211761886876437,2014,2016,2014,3,6,10
156341,518,6869.25,4.151,14104,9.22,other,6129,2.76,1,9.009143583963207e-05,-0.15882083737429853,1087.7628205128206,2659,1011,0,-0.07336901350411516,2004,10,1023.4024404761907,1319.0,1095.35,0.1404509534017399,1968.0,2488,5.590355726810746,973.1666666666666,1182,0.3375072129255627,2013,2015,10,5,-5.500108152926393e-05,-0.06343444618667211,-0.04498790271845038,-0.04704026329102239,2013,2015,2014,10,5,4
172677,527,8951.6,3.1524999999999994,14049,9.48,other,10853,2.82,0,0.00024302638693019863,0.4347413116240393,1375.5602836879432,2735,1827,0,0.05751041437338124,2002,4,1422.4612896825397,1820.5,1433.4,0.04990728169572076,2334.6666666666665,2644,3.941471395902901,1708.875,1983,-0.41628889201745733,2013,2015,11,8,0.00012478720562182193,0.09620330278836825,0.07468536129750088,0.0773408102603522,2013,2015,2014,11,8,6
43851,562,7700.85,3.5025,14081,9.26,other,3834,1.38,0,0.00014413590454175274,0.28267697967009253,1186.5503355704698,2660,697,1,0.03695342761095158,2001,11,1163.8033829365081,1491.45,1176.4,0.0018284493992155372,2016.75,2273,5.48858359133127,557.125,706,0.6532760623877847,2014,2016,5,2,-0.00046321092308171396,-0.004358845411893122,0.024473056788217675,0.015608547991273229,2014,2016,2015,5,2,2
225709,644,9378.384615384615,3.1538461538461537,14942,6.17,credit,8308,0.32,0,-0.0006154826072801286,-0.073071728587938,1346.4130434782608,2986,1451,0,-0.024697427182030465,2011,7,1362.4122100122102,1766.4615384615386,1373.076923076923,-0.6835562996762211,2033.4,2265,7.918735357455569,1248.375,1659,2.0453680711920414,2014,2017,8,5,0.0012721153542396735,0.04351995446811614,-0.011149750744922034,-0.03175227117037819,2014,2017,2015,8,5,5
190632,769,7424.368421052632,3.938947368421053,14740,10.89,credit,659,1.52,1,-0.00033326169915023804,0.35967602102640384,1199.7151898734178,2724,115,0,0.09106444655386627,2008,6,1127.7644110275692,1546.3684210526317,1077.2105263157894,-0.0014345037195314131,2160.375,2482,2.2805098557034613,98.66666666666667,119,0.1740471218785027,2014,2017,10,1,-5.096963854584336e-05,0.00014901117723894306,0.026661976627303827,0.01555725361138392,2014,2017,2015,10,1,7
128813,603,7617.888888888889,3.095555555555556,13910,6.78,other,10082,0.63,1,-0.0006560095278456258,1.180162914435758,1204.3087248322147,2738,1431,0,0.11289840351412753,2004,2,1180.5770266226148,1543.9444444444443,1139.7222222222222,-0.3425062869380729,2263.0,2525,1.6887226266438995,1542.125,1924,-2.14775688687996,2014,2016,10,5,-0.00021231920437484044,0.16863533211743242,0.17808840574615725,0.29370803850178323,2014,2016,2015,10,5,6
104564,770,10289.3,2.6839999999999997,14971,6.52,home,7061,4.23,1,-0.0001605372634848385,-0.3495850923369834,1481.1884816753927,2873,894,0,-0.04352923010271257,2007,11,1496.020607746722,1992.05,1439.1,-0.5426672757196812,2537.0,2849,2.086674949374394,1130.888888888889,1348,-0.964588185475332,2014,2015,3,12,0.0001033386951602412,-0.036222978393532515,-0.05210544297046052,-0.056631175732445874,2014,2015,2014,3,12,11
49036,800,9174.533333333333,4.037333333333334,14679,12.62,cash,8621,3.18,0,0.00042701284710761886,-1.0194153898479867,1419.09900990099,2866,1369,1,-0.13867101274780158,2012,8,1372.2650529100529,1695.5333333333333,1296.5333333333333,-0.8532800843017145,2335.8888888888887,2538,1.8172753325971496,1432.142857142857,1674,-0.16688523313034925,2014,2015,7,12,0.00032510872194010747,-0.17721827404660945,-0.1325097769401889,-0.16024148572782362,2014,2015,2015,7,12,5
